landUnit,soiltType,acid_depth,salinity,Landuse,lu_code,landsuitability
Czno2,Cz,no,2,rice,LUC,3
Czno4,Cz,no,4,rice,LUC,3
Czno8,Cz,no,8,rice,LUC,3
Czno12,Cz,no,12,rice,LUC,4
Cz>502,Cz,>50,2,rice,LUC,3
Cz>504,Cz,>50,4,rice,LUC,3
Cz>508,Cz,>50,8,rice,LUC,3
Cz>5012,Cz,>50,12,rice,LUC,4
Mno2,M,no,2,rice,LUC,2
Mno4,M,no,4,rice,LUC,3
Mno8,M,no,8,rice,LUC,3
Mno12,M,no,12,rice,LUC,2
M<502,M,<50,2,rice,LUC,3
M<504,M,<50,4,rice,LUC,3
M<508,M,<50,8,rice,LUC,4
M<5012,M,<50,12,rice,LUC,4
M>502,M,>50,2,rice,LUC,2
M>504,M,>50,4,rice,LUC,3
M>508,M,>50,8,rice,LUC,3
M>5012,M,>50,12,rice,LUC,2
Mn/cno2,Mn/c,no,2,rice,LUC,1
Mn/cno4,Mn/c,no,4,rice,LUC,2
Mn/cno8,Mn/c,no,8,rice,LUC,4
Mn/cno12,Mn/c,no,12,rice,LUC,4
Mn/c>502,Mn/c,>50,2,rice,LUC,1
Mn/c>504,Mn/c,>50,4,rice,LUC,2
Mn/c>508,Mn/c,>50,8,rice,LUC,4
Mn/c>5012,Mn/c,>50,12,rice,LUC,4
Pno2,P,no,2,rice,LUC,1
Pno4,P,no,4,rice,LUC,3
Pno8,P,no,8,rice,LUC,4
Pno12,P,no,12,rice,LUC,4
Sj1M<502,Sj1M,<50,2,rice,LUC,3
Sj1M<504,Sj1M,<50,4,rice,LUC,3
Sj1M<508,Sj1M,<50,8,rice,LUC,4
Sj1M<5012,Sj1M,<50,12,rice,LUC,4
Sj2P>502,Sj2P,>50,2,rice,LUC,3
Sj2P>504,Sj2P,>50,4,rice,LUC,2
Sj2P>508,Sj2P,>50,8,rice,LUC,3
Sj2P>5012,Sj2P,>50,12,rice,LUC,4
Sj2Pno2,Sj2P,no,2,rice,LUC,3
Sj2Pno4,Sj2P,no,4,rice,LUC,2
Sj2Pno8,Sj2P,no,8,rice,LUC,3
Sj2Pno12,Sj2P,no,12,rice,LUC,4
Sp2Mno2,Sp2M,no,2,rice,LUC,2
Sp2Mno4,Sp2M,no,4,rice,LUC,3
Sp2Mno8,Sp2M,no,8,rice,LUC,3
Sp2Mno12,Sp2M,no,12,rice,LUC,4
Czno2,Cz,no,2,rice_vegetable,LUK,3
Czno4,Cz,no,4,rice_vegetable,LUK,3
Czno8,Cz,no,8,rice_vegetable,LUK,3
Czno12,Cz,no,12,rice_vegetable,LUK,4
Cz>502,Cz,>50,2,rice_vegetable,LUK,3
Cz>504,Cz,>50,4,rice_vegetable,LUK,3
Cz>508,Cz,>50,8,rice_vegetable,LUK,3
Cz>5012,Cz,>50,12,rice_vegetable,LUK,4
