'Risk control','Land price','Prob change','GDP per capita','Farmer'
0.5,50000.0,0.1,781019465.0293307,2863.5
0.5,50000.0,0.30000000000000004,1081170587.3757622,2188.0
0.5,50000.0,0.5,1289258449.681106,1872.5
0.5,100000.0,0.1,574380282.0797641,2768.0
0.5,100000.0,0.30000000000000004,653635549.5318575,2100.0
0.5,100000.0,0.5,658030649.1198387,1787.0
0.5,150000.0,0.1,503962990.7847005,2736.5
0.5,150000.0,0.30000000000000004,505487701.88354015,2061.5
0.5,150000.0,0.5,505805604.2525884,1737.5
0.5,200000.0,0.1,480022298.90021497,2695.5
0.5,200000.0,0.30000000000000004,495546650.52352154,2027.5
0.5,200000.0,0.5,504628504.3982792,1742.5
1.0,50000.0,0.1,567669986.4856306,2730.0
1.0,50000.0,0.30000000000000004,725225944.2956557,2073.5
1.0,50000.0,0.5,781670503.519851,1725.0
1.0,100000.0,0.1,406905576.5940416,2591.0
1.0,100000.0,0.30000000000000004,405717967.99659157,1913.5
1.0,100000.0,0.5,417827205.833482,1630.0
1.0,150000.0,0.1,370923705.601953,2526.5
1.0,150000.0,0.30000000000000004,385910296.7666594,1850.0
1.0,150000.0,0.5,397517340.368083,1613.0
1.0,200000.0,0.1,369637431.76298666,2502.0
1.0,200000.0,0.30000000000000004,382180932.3227459,1865.5
1.0,200000.0,0.5,388831342.338616,1559.0
1.5,50000.0,0.1,411089989.84390604,2091.5
1.5,50000.0,0.30000000000000004,426845902.57096356,1841.5
1.5,50000.0,0.5,410539369.7583786,1711.0
1.5,100000.0,0.1,317631860.7032497,1918.5
1.5,100000.0,0.30000000000000004,305274397.7356908,1715.5
1.5,100000.0,0.5,310250022.9597847,1634.5
1.5,150000.0,0.1,320589421.16317654,1819.0
1.5,150000.0,0.30000000000000004,301246924.3657167,1639.5
1.5,150000.0,0.5,308037880.3869549,1576.0
1.5,200000.0,0.1,331625466.55158246,1766.0
1.5,200000.0,0.30000000000000004,313305127.2658415,1632.5
1.5,200000.0,0.5,315635459.4459007,1562.0
2.0,50000.0,0.1,237580366.17175305,1627.5
2.0,50000.0,0.30000000000000004,232498412.45864162,1237.0
2.0,50000.0,0.5,226642532.69162083,1034.5
2.0,100000.0,0.1,211538026.0026018,1452.5
2.0,100000.0,0.30000000000000004,192912983.08766884,1089.5
2.0,100000.0,0.5,185273833.5713339,928.0
2.0,150000.0,0.1,216501960.42416155,1335.0
